rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,voltage,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,cell_voltage,location,serial_number
1619722671905100695,,64,,1619722671,904718663,'',15.416000366210938,-0.03999999910593033,nan,nan,nan,1.0,2,0,3,True,"[5.138999938964844, 5.138999938964844, 5.138999938964844]","""id0""",''
1619722673904831837,,65,,1619722673,904400019,'',15.39799976348877,-0.46000000834465027,nan,nan,nan,1.0,2,0,3,True,"[5.131999969482422, 5.131999969482422, 5.131999969482422]","""id0""",''
1619722675906303159,,66,,1619722675,905527933,'',15.17199993133545,-5.349999904632568,nan,nan,nan,1.0,2,0,3,True,"[5.039000034332275, 5.039000034332275, 5.039000034332275]","""id0""",''
1619722677904366267,,67,,1619722677,904032220,'',14.487000465393066,-13.670000076293945,nan,nan,nan,1.0,2,0,3,True,"[4.814000129699707, 4.814000129699707, 4.814000129699707]","""id0""",''
1619722679906274332,,68,,1619722679,905806491,'',13.979999542236328,-16.389999389648438,nan,nan,nan,1.0,2,0,3,True,"[4.65500020980835, 4.65500020980835, 4.65500020980835]","""id0""",''
1619722681905943251,,69,,1619722681,905545483,'',13.76200008392334,-17.93000030517578,nan,nan,nan,1.0,2,0,3,True,"[4.585000038146973, 4.585000038146973, 4.585000038146973]","""id0""",''
1619722683906115910,,70,,1619722683,905289611,'',13.663999557495117,-17.93000030517578,nan,nan,nan,1.0,2,0,3,True,"[4.550000190734863, 4.550000190734863, 4.550000190734863]","""id0""",''
1619722685903750525,,71,,1619722685,902996260,'',13.618000030517578,-18.290000915527344,nan,nan,nan,1.0,2,0,3,True,"[4.534999847412109, 4.534999847412109, 4.534999847412109]","""id0""",''
1619722687903326324,,72,,1619722687,902899906,'',13.505999565124512,-17.950000762939453,nan,nan,nan,1.0,2,0,3,True,"[4.51200008392334, 4.51200008392334, 4.51200008392334]","""id0""",''
1619722689905170130,,73,,1619722689,904606606,'',13.480999946594238,-19.139999389648438,nan,nan,nan,1.0,2,0,3,True,"[4.492000102996826, 4.492000102996826, 4.492000102996826]","""id0""",''
1619722691904931995,,74,,1619722691,904430668,'',13.380999565124512,-19.040000915527344,nan,nan,nan,1.0,2,0,3,True,"[4.466000080108643, 4.466000080108643, 4.466000080108643]","""id0""",''
1619722693904657249,,75,,1619722693,904209083,'',13.402000427246094,-19.200000762939453,nan,nan,nan,1.0,2,0,3,True,"[4.46999979019165, 4.46999979019165, 4.46999979019165]","""id0""",''
1619722695902376198,,76,,1619722695,901922569,'',13.418000221252441,-19.190000534057617,nan,nan,nan,1.0,2,0,3,True,"[4.468999862670898, 4.468999862670898, 4.468999862670898]","""id0""",''
1619722697903676529,,77,,1619722697,903218725,'',13.397000312805176,-19.06999969482422,nan,nan,nan,1.0,2,0,3,True,"[4.465000152587891, 4.465000152587891, 4.465000152587891]","""id0""",''
1619722699903383909,,78,,1619722699,902876345,'',13.406999588012695,-19.1200008392334,nan,nan,nan,1.0,2,0,3,True,"[4.464000225067139, 4.464000225067139, 4.464000225067139]","""id0""",''
1619722701903801369,,79,,1619722701,903282381,'',13.409000396728516,-19.43000030517578,nan,nan,nan,1.0,2,0,3,True,"[4.4670000076293945, 4.4670000076293945, 4.4670000076293945]","""id0""",''
1619722703901710658,,80,,1619722703,901224781,'',13.373000144958496,-19.729999542236328,nan,nan,nan,1.0,2,0,3,True,"[4.454999923706055, 4.454999923706055, 4.454999923706055]","""id0""",''
1619722705903193106,,81,,1619722705,902719116,'',13.40999984741211,-19.260000228881836,nan,nan,nan,1.0,2,0,3,True,"[4.46999979019165, 4.46999979019165, 4.46999979019165]","""id0""",''
1619722707902485318,,82,,1619722707,901884159,'',13.366999626159668,-19.479999542236328,nan,nan,nan,1.0,2,0,3,True,"[4.453999996185303, 4.453999996185303, 4.453999996185303]","""id0""",''
1619722709900754366,,83,,1619722709,900234903,'',13.392999649047852,-19.600000381469727,nan,nan,nan,1.0,2,0,3,True,"[4.460000038146973, 4.460000038146973, 4.460000038146973]","""id0""",''
1619722711902616270,,84,,1619722711,902044222,'',13.373000144958496,-19.260000228881836,nan,nan,nan,1.0,2,0,3,True,"[4.459000110626221, 4.459000110626221, 4.459000110626221]","""id0""",''
1619722713902483881,,85,,1619722713,901736541,'',13.411999702453613,-19.299999237060547,nan,nan,nan,1.0,2,0,3,True,"[4.4679999351501465, 4.4679999351501465, 4.4679999351501465]","""id0""",''
1619722715900028100,,86,,1619722715,899551772,'',13.428000450134277,-19.3799991607666,nan,nan,nan,1.0,2,0,3,True,"[4.4720001220703125, 4.4720001220703125, 4.4720001220703125]","""id0""",''
1619722717899848313,,87,,1619722717,899259765,'',13.437000274658203,-19.3700008392334,nan,nan,nan,1.0,2,0,3,True,"[4.474999904632568, 4.474999904632568, 4.474999904632568]","""id0""",''
1619722719900054445,,88,,1619722719,899357427,'',13.454999923706055,-19.34000015258789,nan,nan,nan,1.0,2,0,3,True,"[4.479000091552734, 4.479000091552734, 4.479000091552734]","""id0""",''
1619722721901806267,,89,,1619722721,901228506,'',13.430999755859375,-19.030000686645508,nan,nan,nan,1.0,2,0,3,True,"[4.480000019073486, 4.480000019073486, 4.480000019073486]","""id0""",''
1619722723901117241,,90,,1619722723,900734696,'',13.689000129699707,-8.390000343322754,nan,nan,nan,1.0,2,0,3,True,"[4.609000205993652, 4.609000205993652, 4.609000205993652]","""id0""",''
1619722725900639068,,91,,1619722725,899855829,'',14.628000259399414,-1.0099999904632568,nan,nan,nan,1.0,2,0,3,True,"[4.882999897003174, 4.882999897003174, 4.882999897003174]","""id0""",''
