Coarseness,OD,roll_i,I_max,roll_f,I_f
c,140,-61.649619141795675,1075.8922107662254,-74.36992225577534,-20.777832347995094
f,075,51.90033131721694,1074.9802093569265,75.64571577248267,-15.817809285182536
m,200,-18.28405195491756,1076.8071922807787,-31.16023202966315,-18.732049174145224
f,090,172.83537071433676,1073.4149912331038,174.75777227603334,2.2977137633300384e-07
c,125,74.73370434624934,1076.49619831078,84.55275671245369,-1.6381229718439363e-31
c,200,134.99119180474057,1075.3797989615377,132.19046557023637,468.9052462687789
f,160,75.3113703059321,1074.5305089737594,80.13598273365714,-22.917470669622322
f,200,115.74472515098739,1075.7197417958985,119.7820151412181,517.3344600320279
c,160,79.22638706522362,1083.2234962282805,86.52871170838169,6.344741901317983e-07
c,090,-192.82035617236517,1076.914978433314,155.19187579655318,142.2264507444634
c,110,18.72733146401727,1076.1538172748028,28.15377785541541,-10.856109163077436
c,110,42.370799119802484,1076.9858665386241,53.02567879197555,-20.930903314797252
f,160,29.305246203775383,1079.3573028592489,32.36568463095678,-11.006707356513562
f,110,175.10923965910467,1075.7064502473925,-159.02563973416065,87.34715271792969
f,125,48.68726939365166,1077.0273259190742,55.2247643719245,-18.522144853297803
f,125,117.77585710780563,1073.9111189233918,118.9300981256226,-24.140311669101163
f,200,172.80316930509116,1075.5747478733483,174.8575456621226,463.6798167024755
f,140,44.32582964067775,1076.895814932379,50.84684365771763,-10.567529089602093
c,160,47.08465028571208,1075.1476739641414,92.41074885929439,57.63873509845458
f,075,85.12477620414091,1075.2073054953564,100.00553835338724,-27.02589624693914
c,160,-8.047183524907416,1078.0283698119606,-12.181273182491044,-12.672533869887918
m,200,-24.925742609779167,1078.2419285064088,-32.52049866689539,-11.488828972509047
f,140,93.04655391867831,1082.015463115437,99.5488540440564,-19.672860160366287
m,200,-15.26843694796636,1087.089123390127,-16.629966792363938,-13.27453040391254
f,140,-177.34387662883645,1080.7451248544699,-122.22170742295287,88.8113218826981
c,140,74.0646984607553,1079.0871234846713,91.68684388332986,1.22962738895524e-37
c,125,178.63868261528387,1074.8056536449192,-116.83697341393358,330.32412464918315
c,075,35.62245861372867,1073.8215299412273,64.75485684800037,5.328512437746327e-19
c,140,0.0,0.0,0.0,0.0
f,125,78.87577651350071,1080.3397163906682,82.51985183670394,-23.68896277056595
c,200,63.56797197290495,1076.2806507604478,69.48940856711414,-20.661903337670267
c,200,28.388447327629173,1075.7773621523495,45.296436481258816,-21.494044545742817
c,090,44.37778251345493,1075.730522908672,62.551285060819104,-15.68665729802375
f,125,0.9963401153974424,1077.7491911647312,10.666402706921108,-15.042070598456313
m,200,-68.48327581105917,1074.7638479085847,-88.06157972793685,-21.25463225166665
c,125,6.650441156538392,1076.6206013595338,8.812506302224543,-14.359074705239388
c,140,-61.774307119893436,1073.7822516168558,-69.16059683048597,-16.4357356286265
f,125,-177.1991498101159,1076.0329525762054,162.6119883467369,504.7405849822545
c,110,130.02657821714524,1077.49512031946,126.1588699077254,-9.729997703119775
c,110,74.97158115086597,1076.7919989432175,79.9316279685576,-21.05107932265968
f,125,31.771751864233092,1078.6525284632612,34.7200231923007,-11.385602203971379
c,140,108.67046255377329,1075.1207125933497,105.51926999704138,255.74292408067697
m,200,-73.80242162380705,1074.6939500784058,-87.4511188177478,-23.956813423802284
c,160,-39.30496782647009,1075.6113409369777,-45.78825514982941,-20.633207920229765
c,140,-18.02157534577085,1074.6986398613578,-21.849618869238828,-15.976952293955364
c,090,2.907647547777378,1077.2305655957023,2.4943122367538466,-13.780194287366383
c,140,4.677564115070424,1074.3231851323717,5.457705990238788,-14.76070223904709
f,075,30.812161529498972,1086.567154140252,41.7498191611496,-15.785065221699588
f,200,35.21999328630593,1083.591517453342,36.988237600740504,-12.996211084409355
f,160,128.69448560486467,1074.7820252699519,122.33451302063516,114.65319282176168
c,125,30.87664921642627,1074.1176630116797,36.523702061363664,-12.296770628202026
f,160,173.6418349936608,1078.3442685503169,146.87354106588145,-12.17297509016192
f,160,44.10516812902003,1073.7923544055602,58.05148302741045,-18.82420371285421
c,140,77.14552492780328,1078.6881128644663,83.27741999098987,-6.15896078672821e-06
c,160,61.43464182615999,1078.3121342092463,70.56090278804339,-4.776816306896012e-11
n,125,-4.097145014279793,1076.885447561824,-40.12447225799934,453.0001903974794
f,090,5.737948021897212,1078.696508814328,40.47673788428378,-9.505033884309517
c,075,28.4225005489363,1074.3718065900216,45.965368175960464,-18.835279938503326
c,140,-41.37447614356991,1076.2184002914641,-52.76928913549435,-14.308349804445797
f,140,54.46598059373834,1072.7774160064155,65.38058970630173,-11.022509497640641
f,140,7.564350884284535,1079.9050471211294,9.615794168575292,-15.373399025071274
c,140,43.214281106469045,1075.562446993827,58.14768610416551,-16.30871193570936
c,090,90.45499651978714,1075.8520470307426,112.99881416790433,-11.443709479536663
f,125,125.30474820538925,1073.7001380341733,125.9501765750663,2.7285001986428598e-14
f,075,177.39547161756803,1075.0319330331376,134.2863060058318,-7.900668993156369
c,125,49.67677004480925,1079.673210990456,57.64975183263202,-16.953628329544955
c,160,178.3584099667336,1075.184533783613,177.0029382441214,532.1602244555916
f,090,85.12795822112733,1075.823603589983,104.0260785140542,-12.941098269195574
c,160,-108.33190519804639,1080.6528720788358,-110.17221293184681,494.8965488310341
c,160,-49.75707720530696,1081.782579173659,-54.567273666294135,-12.689080367303585
c,125,117.25819164531825,1074.2109857834264,120.95030935602718,-18.350579225107722
f,090,59.2377716527351,1075.1126674351653,106.51191319499088,-20.607299651339236
c,110,172.49223333906787,1075.8490207879174,143.42492326348247,439.9007197824194
m,200,-1.6262348995708185,1074.9639491616201,-1.8258109108940768,-12.010613807705012
c,140,-173.49794031611694,1079.9325147640238,172.7915237838915,-11.380939380826689
c,090,93.45784119876117,1075.7549724905023,100.74463559181864,-28.085716149463074
c,140,73.28366104274113,1076.6983478967732,94.38647862269738,128.45079273081254
f,110,54.56836362249595,1074.2088651272672,67.39598057010515,-15.982459546033448
c,160,22.007046486580773,392.74,23.52827275573618,-13.20144047793464
f,090,36.82696119888789,1074.8761803718598,47.28003160248229,-12.304356840604324
c,125,116.66489268775075,1074.5879885252943,124.59042660158606,481.620994587891
c,075,26.554450041789252,1075.1887950149785,26.515072127978307,-10.605261411709293
c,140,71.17336789177344,1074.5732465867738,84.90689036764812,114.14100553707156
f,140,140.54538308915429,1077.2008482044116,135.34826392781838,478.7716722289354
c,110,0.9824559163529826,1074.3692710529108,2.018220392088378,-11.314074123929412
f,110,115.16898091682648,1073.1710234344223,118.32696827166428,-19.903958526951772
f,110,82.9170718919155,1076.473381605108,106.69209853585781,-11.856780360362404
c,160,178.55677309623798,1076.7295360959502,170.8484012692734,449.10114164532934
c,160,-91.83395955965781,1072.5261736899718,-95.7537849611755,2.281112903410845e-06
c,200,92.61431124712212,1076.5265396014274,95.85206985377084,398.0795494711303
f,200,1.6237235237396965,1076.8270599783732,3.3098211035870526,-15.179337341961011
c,140,-2.8293532461376536,1075.8665927962827,-6.0025858242002705,-17.852137244514843
c,160,102.34127952986404,1077.4073282261522,102.30647747860726,81.12560364807763
c,160,99.32020322974313,1076.1642473275826,97.65709063962491,125.07948495299236
f,160,4.354124246258706,1078.2143164141435,5.982633242334794,-11.66646726331076
c,160,-22.618669368880422,1076.9999973063284,83.30480783610756,-8.07000000000208
c,075,76.91530544937643,1077.5737502099669,91.0335301015535,6.228944216343681e-16
c,125,133.38055025721013,1083.0332612706359,123.10657639137207,-20.920692055229264
c,200,81.24212602814985,1079.7515111544008,92.61293759185826,478.8129965838697
c,140,-92.34309444371497,0.33702588821042934,-94.60543255082004,-4.669300046326084
f,090,138.52918738633036,1073.612375724945,131.666119745905,-5.380000090064955
c,160,-70.47622645229484,1077.0087698515981,-83.11140379559342,-4.336967555798099e-24
f,200,68.65217989037998,1074.4392191043855,81.6650750094356,-22.223117084495005
c,140,-146.98244730231838,2460.730938888275,-146.98244730231838,2460.730938888275
f,160,139.6250177296925,1075.0420625640918,139.36692356313756,410.8416566348922
c,110,55.67123240299272,1076.5252277623795,73.22887704739054,-17.896661227111508
c,140,22.84075976601914,1077.132078983515,32.873885542850175,-13.527276121310486
f,075,150.83589208939281,1076.8957772236297,109.79396764565517,-23.495445866825172
f,110,26.97522012712388,1075.847327474941,36.18308250676695,-11.931135096065738
c,140,78.46661449638776,1074.743365199749,87.2826798785655,507.1489880158762
f,110,9.500307874932748,1075.3606137751835,-173.1635046652927,-7.843181431384782
c,140,-78.48214092534765,1073.8666185533891,-88.33034396881001,1.5003533855298364e-27
f,125,-177.76488740337206,1075.7752064027818,164.24551062737652,517.3238534145556
f,140,154.23740893465322,1080.3951889894356,145.75146989883382,462.791038305283
m,200,-45.393152920386186,1076.1097298413658,-58.36466758057583,-18.74929796087977
c,075,195.00197737523686,1075.7503041807402,-157.62495199529678,-8.828521204330556e-48
c,075,106.20707288164871,1073.5654212555257,116.0868373438082,-21.420105315569064
c,200,176.77068616770504,1073.6494821465724,151.400323617702,472.6940534434116
c,090,56.84773250184371,1086.1926194271725,71.26733725953525,-0.007013120835036836
c,075,179.4457191842437,1078.3308981358773,-176.10301209031428,3.9330895833559064e-22
f,140,-177.33023988793394,1081.4375006122812,115.35936914958225,470.6089125432163
c,090,42.663822344928576,1079.8369156354895,97.05542954320677,-10.509361023582976
c,200,4.443663143597228,1076.750376999173,8.731126251417372,-15.392315780548408
c,075,8.99005776168237,1073.6498107360412,10.544525438319202,-17.038592484571897
f,075,1.382205910926497,1075.4012656225084,8.319568755872291,-16.942178954409552
