# time,current,ang.x, ang.y, ang.z, rate.x, rate.y, rate.z, accel.total, fall time, fall current
5.783333333333333215e+00,1.075777362152349497e+03,2.838844732762917289e+01,1.845712763894280073e+00,8.541314746786257217e+01,1.191298382889095953e+00,-1.460184579569776542e-01,8.885028526266944837e-01,9.886089972653035574e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.799999999999999822e+00,1.074427001897158561e+03,2.840377535298990352e+01,1.841104765655406483e+00,8.543091893002093684e+01,1.127946741158718957e+00,2.524913129112700272e-01,1.123257957004729857e+00,9.913051904845753270e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.816666666666666430e+00,1.072915818096809062e+03,2.841991939341869156e+01,1.837634763501189372e+00,8.545328411476040742e+01,1.192324806439429175e+00,3.368374663729517549e-01,1.401493312096096622e+00,9.912451382585295789e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.833333333333333037e+00,1.061511306464723702e+03,2.843762140609183575e+01,1.830012538872092254e+00,8.547796673278054413e+01,1.229884514629691505e+00,9.652464844350225337e-02,1.653428034923847711e+00,9.906248096430086747e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.849999999999999645e+00,1.024137942776796990e+03,2.845842260538304558e+01,1.816141859097375910e+00,8.550242655623003429e+01,1.388129439830518397e+00,-2.664272320939111705e-01,1.830003067492792512e+00,9.907736041857466702e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.866666666666666252e+00,9.516159984233695468e+02,2.848324037529843622e+01,1.797577890225007247e+00,8.552608816842554518e+01,1.517460394038797844e+00,-4.949823474987525285e-01,1.871246757620298684e+00,9.929301682029471721e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.883333333333332860e+00,8.451876389620094869e+02,2.850948245465881214e+01,1.778099182316645877e+00,8.554850968786624321e+01,1.427206775894007240e+00,-4.922305160671201496e-01,1.748038877216686604e+00,9.957627576242405354e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.900000000000000355e+00,7.272203037629333267e+02,2.853425844785996901e+01,1.761327283345816674e+00,8.556855895300691373e+01,1.166864441223135485e+00,-3.549105818431929071e-01,1.489193109824210604e+00,9.970835010214344152e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.916666666666666963e+00,6.251748153915004877e+02,2.855677954303432742e+01,1.748750877054050967e+00,8.558508610609200673e+01,9.498326439672704069e-01,-2.532249404644595914e-01,1.175807194090340291e+00,9.958637117630365410e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.933333333333333570e+00,5.561339757957837264e+02,2.857668619099378304e+01,1.738896617232947861e+00,8.559765907242230298e+01,8.113500335652559237e-01,-2.976460470470152497e-01,9.270453481022713493e-01,9.919945238790596420e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.950000000000000178e+00,5.227571973648813355e+02,2.859352109278122711e+01,1.728293871783322722e+00,8.560605892454458399e+01,7.525595882725872876e-01,-5.803587963028511432e-01,7.955424342025519957e-01,9.874552147267221969e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.966666666666666785e+00,5.166847776554517395e+02,2.860834350147262128e+01,1.712089155218192271e+00,8.560995754546027570e+01,7.881363452363768785e-01,-1.013095539231974263e+00,7.502247546867790717e-01,9.846257508850667861e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.983333333333333393e+00,5.251265634799290183e+02,2.862179462654371775e+01,1.689955555880050531e+00,8.561107871346104048e+01,8.544740578546061727e-01,-1.311413708520881682e+00,7.594203161206791730e-01,9.856373959704836096e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,5.366130143752619688e+02,2.863268827391644322e+01,1.666101288326383489e+00,8.561226678977760685e+01,7.889479166661426124e-01,-1.255395689861788622e+00,7.785350499322026829e-01,9.903083353037036574e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.016666666666666607e+00,5.440984187895082869e+02,2.863865884445722898e+01,1.645795310401906075e+00,8.561533159346647892e+01,4.663385899647403687e-01,-9.155281746138773658e-01,7.343310676765347766e-01,9.955315228140765527e+00,0.000000000000000000e+00,0.000000000000000000e+00
