# time,current,ang.x, ang.y, ang.z, rate.x, rate.y, rate.z, accel.total, fall time, fall current
6.416666666666666963e+00,1.076885447561824094e+03,-4.097145014279792719e+00,6.894372335829683784e+00,-6.974607214413613576e+01,-2.759567399155804068e+00,-4.048716798064700972e-01,-4.094421138960412931e-01,9.950983407684169890e+00,9.666666666666666075e+00,4.530001903974794004e+02
6.433333333333333570e+00,1.076075322572968616e+03,-4.148982653465262516e+00,6.888240950590128975e+00,-6.975298316191305048e+01,-3.280432905350378014e+00,-4.444093885901202468e-01,-4.677604048556330829e-01,9.953391986643017830e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.450000000000000178e+00,1.074218740995647750e+03,-4.207490796827089596e+00,6.881657248405006477e+00,-6.976039068509687979e+01,-3.485311984855243850e+00,-4.585260035527343736e-01,-4.771181564501899564e-01,9.957851338286008769e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.466666666666666785e+00,1.073090936463796197e+03,-4.264070804420596161e+00,6.875321692902949700e+00,-6.976720467007591253e+01,-3.183249552360258861e+00,-4.282857025078585789e-01,-4.194441649235877145e-01,9.963385250691278117e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.483333333333333393e+00,1.073108543829530390e+03,-4.310832886562660171e+00,6.869858918631503109e+00,-6.977264274539498956e+01,-2.493703481199420757e+00,-3.578128401236008727e-01,-3.218107385987843960e-01,9.971627814554214098e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,1.073910509916017645e+03,-4.343908354694930196e+00,6.865711181615660408e+00,-6.977636359917751463e+01,-1.670594424968650848e+00,-2.698225681630224138e-01,-2.127931222402072997e-01,9.982192820567579616e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.516666666666666607e+00,1.074967059500852656e+03,-4.363679746511550661e+00,6.863051432601437796e+00,-6.977860166001690345e+01,-9.778031990271114360e-01,-1.874723026778285229e-01,-1.313985351301155124e-01,9.989400247434984337e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.533333333333333215e+00,1.075851989365648706e+03,-4.374400305207239548e+00,6.861671482592917926e+00,-6.978015159829217851e+01,-5.944084137562849479e-01,-1.282232942933679010e-01,-1.056013191254358136e-01,9.985542063534907697e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.549999999999999822e+00,1.076359214465425566e+03,-4.382362886898028442e+00,6.861046424189133575e+00,-6.978198924670800807e+01,-5.782071461494097120e-01,-1.035853181955033175e-01,-1.361701835799785099e-01,9.966262939267981125e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.566666666666666430e+00,1.076489689057725855e+03,-4.394072089365561595e+00,6.860440508284552763e+00,-6.978487288054790838e+01,-8.818802354388173281e-01,-1.187621988229979053e-01,-2.019619826841123345e-01,9.937563848449791237e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.583333333333333037e+00,1.076368743105394060e+03,-4.415254188155953941e+00,6.859001058697907105e+00,-6.978916614392328199e+01,-1.397988333900571423e+00,-1.719561598392495005e-01,-2.763798218234760906e-01,9.919158464242233464e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.599999999999999645e+00,1.067254000085664302e+03,-4.446197555575468030e+00,6.856577291046261458e+00,-6.979449682455252457e+01,-1.961799496137981658e+00,-2.331865652941366163e-01,-3.372056449632122033e-01,9.908616393933725064e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.616666666666666252e+00,1.033022912439406355e+03,-4.485202019675485374e+00,6.853357808887071023e+00,-6.980044399428096824e+01,-2.468220842386877667e+00,-2.869514404502806482e-01,-3.816386953866656162e-01,9.905093788274736966e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.633333333333332860e+00,9.639708668818428805e+02,-4.530420443485292381e+00,6.849509693886028927e+00,-6.980657604672974514e+01,-2.804699630447550440e+00,-3.242557673051680855e-01,-3.982034451097807848e-01,9.904851986202292125e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.649999999999999467e+00,8.607918252017839222e+02,-4.578242727790232891e+00,6.845231286983985974e+00,-6.981242635947813824e+01,-2.813237046061123792e+00,-3.358190819557303475e-01,-3.719480211432701910e-01,9.906059709396934920e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.666666666666666963e+00,7.433217226209553701e+02,-4.621981518678180301e+00,6.840928621638419749e+00,-6.981734728869960804e+01,-2.393247198009764709e+00,-3.121813380978515351e-01,-2.956102819314553320e-01,9.909756776727459027e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.683333333333333570e+00,6.387790107487137448e+02,-4.656082503372824810e+00,6.837068752564380958e+00,-6.982068222185840511e+01,-1.718902596999483112e+00,-2.572957497887769507e-01,-1.759322226646940490e-01,9.912978569213438007e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.700000000000000178e+00,5.653277416476951203e+02,-4.682039988041329259e+00,6.833786213888974892e+00,-6.982245674377796263e+01,-1.256120466831839755e+00,-2.175058863683977384e-01,-7.562774740106012472e-02,9.923607170266421917e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.716666666666666785e+00,5.270386176806238154e+02,-4.703908621830361625e+00,6.830983628943085861e+00,-6.982325177242904601e+01,-1.157128641231045751e+00,-2.117867640775354665e-01,-3.209432284201869934e-02,9.929345558856754295e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.733333333333333393e+00,5.169913924163565753e+02,-4.722996420692092023e+00,6.828790285144398453e+00,-6.982360753392947572e+01,-1.176114732679319097e+00,-2.098006143563277692e-01,-2.954902840006801146e-02,9.926228389936419205e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000000e+00,5.232561645876965031e+02,-4.738595141803633837e+00,6.827418452494686818e+00,-6.982396797069623062e+01,-1.076574264005014214e+00,-1.834470905034906174e-01,-4.591029946985682175e-02,9.921557222394170594e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.766666666666666607e+00,5.344591256596745552e+02,-4.750695789317369133e+00,6.826834099088148200e+00,-6.982481296646253099e+01,-9.241808909813835626e-01,-1.478836542998234194e-01,-8.807663919033448252e-02,9.920535601479727461e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.783333333333333215e+00,5.430829064599410003e+02,-4.761715863854806940e+00,6.826549288535513682e+00,-6.982657995997730893e+01,-9.037343217375944926e-01,-1.363490282524378872e-01,-1.550167012218855445e-01,9.916756567641698439e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.799999999999999822e+00,5.461126314740781709e+02,-4.778053260136075231e+00,6.825680331692849379e+00,-6.982962175951458050e+01,-1.183996001408015086e+00,-1.648134883021193930e-01,-2.311688612364576068e-01,9.912829916379992667e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.816666666666666430e+00,5.440495341821133479e+02,-4.804429205732636099e+00,6.823540761731789139e+00,-6.983396524064562527e+01,-1.757336052930922765e+00,-2.233309153151575299e-01,-3.025478150355797036e-01,9.921277816602605881e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.833333333333333037e+00,5.391620291702429313e+02,-4.841526819372296231e+00,6.820069007577526321e+00,-6.983828393820233771e+01,-2.385859185410000194e+00,-2.839784845253461310e-01,-2.851618762267504326e-01,9.941493962909929039e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.849999999999999645e+00,5.338835389277312515e+02,-4.887819440953919070e+00,6.815760189710851513e+00,-6.984022408399232518e+01,-2.876164841319482246e+00,-3.251274237539283907e-01,-1.225961389090823583e-01,9.962421039258682498e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.866666666666666252e+00,5.298451191725770286e+02,-4.942133068442320365e+00,6.811191372637543928e+00,-6.983775860449449624e+01,-3.313783185180929625e+00,-3.553983793071347486e-01,1.434662685469746402e-01,9.970662335312319158e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.883333333333332860e+00,5.276102833783851338e+02,-5.006346183244033909e+00,6.806300803153199297e+00,-6.983069970893618006e+01,-4.121745602683033916e+00,-4.269333216711891366e-01,4.135676471766775442e-01,9.953140958528393867e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.899999999999999467e+00,5.269054511293909400e+02,-5.087620710719367167e+00,6.800423279610400940e+00,-6.981910939359136137e+01,-5.504272968086697304e+00,-5.445266944125888298e-01,6.892092604363564412e-01,9.918941985268615369e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.916666666666666963e+00,5.270545990735367923e+02,-5.194439481915537726e+00,6.792616372855590612e+00,-6.980321954320653788e+01,-7.261729119793111309e+00,-6.860022894320113584e-01,9.272690165846739774e-01,9.900498309191654300e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.933333333333333570e+00,5.273778463319358707e+02,-5.330251925211149100e+00,6.782622066797352467e+00,-6.978462960661171621e+01,-9.091280748800327771e+00,-8.335191899586971154e-01,1.054650168583816772e+00,9.907148157488071760e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.950000000000000178e+00,5.274270583684414078e+02,-5.496539709978700117e+00,6.770330165729606442e+00,-6.976490974862487349e+01,-1.077220394189185271e+01,-9.769324408015357397e-01,1.069500901098436652e+00,9.925763775548979595e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.966666666666666785e+00,5.270433103792256588e+02,-5.692961578481083862e+00,6.755602935368614226e+00,-6.974476587797738603e+01,-1.220319971209416643e+01,-1.107607431669575426e+00,1.047419711849778778e+00,9.940975135578565158e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.983333333333333393e+00,5.263294440789170494e+02,-5.910279374450061241e+00,6.739099594891271749e+00,-6.972502351687055011e+01,-1.331550473039556692e+01,-1.212082859430234638e+00,1.015945405503459131e+00,9.953771684979646039e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,5.255370527646997516e+02,-6.138903816040942374e+00,6.721451916131578663e+00,-6.970650047613113998e+01,-1.398349665021083155e+01,-1.279293313879191540e+00,9.424235347800514750e-01,9.966490204453339885e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.016666666666666607e+00,5.248889797175106651e+02,-6.371193394125683085e+00,6.702713919287766942e+00,-6.969129797958029826e+01,-1.395332830778443167e+01,-1.302119965437276150e+00,7.546913202797687070e-01,9.969209738671908738e+00,0.000000000000000000e+00,0.000000000000000000e+00
