Coarseness,OD,roll_i,I_max,roll_f,I_f
c,160,-38.87143608709425,1074.5230876804044,-44.02795945247454,-1.8439303960679616e-51
c,160,-16.90786405094626,1075.6137451163772,-20.05566197813434,-11.70495543439422
c,160,-15.419875882496584,0.0,-,0
n,125,-26.134293831492542,1073.043648219824,-16.394610902082356,-11.225342906232902
c,160,-2.2831261650821713,1082.9955174982579,-4.616979588263569,-12.39879503308905
c,160,-46.1596045557429,1073.5255461043917,-52.46006325939836,2.4294081189037784e-08
n,125,-14.979303089975215,1075.420770329832,-27.727633282366487,6.18222247366566e-22
n,125,-26.9381655821598,1074.9047261081028,-91.63997542932333,409.3159820202539
n,125,2.76246562172052,1073.8367840368107,2.8747713297003967,-12.409786103212683
c,160,-99.68139714133619,1082.7535090841652,-111.63511138447348,4.794445832761316e-23
m,200,1.0859502743688152,1074.5953103294546,2.186433497830582,-12.403572586958798
n,125,-14.3708364981848,0.6469273367355424,-28.83939687382129,-6.258501880864692e-09
c,160,-24.11158949882381,1073.4738613944057,-46.12037121348172,-11.231412611469661
m,200,-17.86418657100309,1076.9973473038463,-26.552491059003717,-21.52020091675166
c,160,-28.759959010557246,1073.6925324941653,-37.839766925701,-17.253739873831982
n,125,-18.50286696918301,1073.2602949391123,-28.158408700991473,133.079123284525
c,160,-31.35339836461195,1082.5825436837763,-34.24134837359271,-19.777484710670812
